CPU_Usage,CPU_UsageFedFCA,CPU_Usage_Classical_FCA,RAM_Usage,RAM_UsageFedFCA,RAM_Usage_Classical_FCA,RAM_Used,RAM_UsedFedFCA,RAM_Used_Classical_FCA,Runtime FedFCA_ARES_LDP,Runtime_Classical_FCA,context_sensitivity,dataset_name,fraction,global_stability,num_providers,runtimeFedFCA,threshold,type_partition
31.599999999999998,31.599999999999998,7.65,15.2,15.2,15.5,1.6123504638671875,1.6123504638671875,1.64935302734375,45.13764572143555,451.37645721435547,0.1,mushroom,0.5,0.4228041880759561,10,45.13534379005432,0,IID
10.25,10.25,7.65,15.55,15.55,15.5,1.6531543731689453,1.6531543731689453,1.64935302734375,45.437047719955444,451.37645721435547,0.2,mushroom,0.5,0.4205846125911685,10,45.43474340438843,0,IID
9.9,9.9,7.65,15.6,15.6,15.5,1.6559619903564453,1.6559619903564453,1.64935302734375,47.20749521255493,451.37645721435547,0.3,mushroom,0.5,0.4123284817675038,10,47.20609760284424,0,IID
2.5,2.5,7.65,15.6,15.6,15.5,1.6579952239990234,1.6579952239990234,1.64935302734375,47.236064195632935,451.37645721435547,0.4,mushroom,0.5,0.4087934396192597,10,47.234718561172485,0,IID
6.8,6.8,7.65,15.55,15.55,15.5,1.6573963165283203,1.6573963165283203,1.64935302734375,44.93690538406372,451.37645721435547,0.5,mushroom,0.5,0.4069761337519857,10,44.9355571269989,0,IID
5.3,5.3,7.65,15.5,15.5,15.5,1.652536392211914,1.652536392211914,1.64935302734375,43.990586280822754,451.37645721435547,0.6,mushroom,0.5,0.4096873123253046,10,43.98924732208252,0,IID
7.65,7.65,7.65,15.5,15.5,15.5,1.646352767944336,1.646352767944336,1.64935302734375,44.64133071899414,451.37645721435547,0.7,mushroom,0.5,0.40272339269186425,10,44.63952159881592,0,IID
5.15,5.15,7.65,15.5,15.5,15.5,1.6413326263427734,1.6413326263427734,1.64935302734375,46.84288787841797,451.37645721435547,0.8,mushroom,0.5,0.40916194055793875,10,46.84155321121216,0,IID
2.65,2.65,7.65,15.45,15.45,15.5,1.6376533508300781,1.6376533508300781,1.64935302734375,44.80007004737854,451.37645721435547,0.9,mushroom,0.5,0.40856600069275095,10,44.79871606826782,0,IID
40.6,40.6,7.65,15.45,15.45,15.5,1.6429405212402344,1.6429405212402344,1.64935302734375,38.40803408622742,451.37645721435547,0.1,mushroom,0.5,0.3392857142857143,10,38.407926082611084,0.2,IID
37.8,37.8,7.65,15.55,15.55,15.5,1.6538219451904297,1.6538219451904297,1.64935302734375,36.47194576263428,451.37645721435547,0.2,mushroom,0.5,0.3645833333333333,10,36.47189164161682,0.2,IID
30,30,7.65,15.55,15.55,15.5,1.6507434844970703,1.6507434844970703,1.64935302734375,38.515721797943115,451.37645721435547,0.3,mushroom,0.5,0.55,10,38.51562452316284,0.2,IID
22.5,22.5,7.65,15.45,15.45,15.5,1.6424674987792969,1.6424674987792969,1.64935302734375,37.87933564186096,451.37645721435547,0.4,mushroom,0.5,0.3392857142857143,10,37.87928581237793,0.2,IID
